類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1,國立政治大學,"321,647,507"
一般大學,2,國立清華大學,"1,212,025,181"
一般大學,3,國立臺灣大學,"2,326,731,025"
一般大學,4,國立臺灣師範大學,"227,345,240"
一般大學,5,國立成功大學,"1,412,842,075"
一般大學,6,國立中興大學,"435,822,005"
一般大學,7,國立交通大學,"1,045,006,199"
一般大學,8,國立中央大學,"414,635,736"
一般大學,9,國立中山大學,"319,543,756"
一般大學,12,國立臺灣海洋大學,"143,939,449"
一般大學,13,國立中正大學,"155,211,279"
一般大學,14,國立高雄師範大學,"45,119,575"
一般大學,15,國立彰化師範大學,"76,155,069"
一般大學,16,國立陽明大學,"344,071,676"
一般大學,17,國立臺北大學,"87,781,164"
一般大學,18,國立嘉義大學,"60,938,527"
一般大學,19,國立高雄大學,"54,500,373"
一般大學,20,國立東華大學,"69,305,637"
一般大學,21,國立暨南國際大學,"78,590,370"
一般大學,28,國立臺北藝術大學,"54,492,671"
一般大學,29,國立臺灣藝術大學,"59,556,713"
一般大學,30,國立臺東大學,"63,314,028"
一般大學,31,國立宜蘭大學,"66,042,501"
一般大學,32,國立聯合大學,"46,522,744"
一般大學,35,國立臺南藝術大學,"20,345,703"
一般大學,36,國立臺南大學,"50,692,770"
一般大學,37,國立臺北教育大學,"51,861,957"
一般大學,39,國立臺中教育大學,"54,278,971"
一般大學,44,國立體育大學,"47,495,537"
一般大學,48,國立金門大學,"32,404,852"
一般大學,49,國立臺灣體育運動大學,"33,194,861"
一般大學,52,國立屏東大學,"65,557,221"
一般大學,1001,東海大學,"115,581,793"
一般大學,1002,輔仁大學,"95,856,020"
一般大學,1003,東吳大學,"93,148,172"
一般大學,1004,中原大學,"143,961,800"
一般大學,1005,淡江大學,"93,259,358"
一般大學,1006,中國文化大學,"68,047,779"
一般大學,1007,逢甲大學,"144,797,731"
一般大學,1008,靜宜大學,"91,908,350"
一般大學,1009,長庚大學,"161,222,673"
一般大學,1010,元智大學,"105,899,941"
一般大學,1011,中華大學,"48,553,759"
一般大學,1012,大葉大學,"56,198,321"
一般大學,1013,華梵大學,"28,959,369"
一般大學,1014,義守大學,"95,393,896"
一般大學,1015,世新大學,"62,657,211"
一般大學,1016,銘傳大學,"73,602,918"
一般大學,1017,實踐大學,"65,177,294"
一般大學,1019,高雄醫學大學,"144,753,638"
一般大學,1020,南華大學,"58,399,445"
一般大學,1021,真理大學,"15,957,282"
一般大學,1022,大同大學,"45,051,619"
一般大學,1027,慈濟大學,"58,675,507"
一般大學,1028,臺北醫學大學,"269,774,060"
一般大學,1029,中山醫學大學,"60,252,552"
一般大學,1033,長榮大學,"61,300,431"
一般大學,1035,中國醫藥大學,"195,523,206"
一般大學,1039,玄奘大學,"26,708,100"
一般大學,1048,亞洲大學,"64,722,200"
一般大學,1049,開南大學,"16,867,357"
一般大學,1050,佛光大學,"44,591,039"
一般大學,1058,明道大學,"2,527,841"
一般大學,1067,台灣首府大學,"7,270,152"
一般大學,1079,康寧大學,"2,275,000"
一般大學,1125,中信金融管理學院,"20,063,463"
一般大學,1176,稻江科技暨管理學院,0
一般大學,1195,馬偕醫學院,"37,570,406"
一般大學,1196,法鼓文理學院,"1,434,007"
一般大學,1R04,一貫道天皇學院,"2,500,000"
一般大學,3002,臺北市立大學,"50,313,285"
技專校院,22,國立臺灣科技大學,"309,335,000"
技專校院,23,國立雲林科技大學,"212,664,000"
技專校院,24,國立屏東科技大學,"167,401,000"
技專校院,25,國立臺北科技大學,"264,449,280"
技專校院,33,國立虎尾科技大學,"244,352,000"
技專校院,42,國立澎湖科技大學,"26,838,893"
技專校院,43,國立勤益科技大學,"138,806,000"
技專校院,46,國立臺北護理健康大學,"86,654,000"
技專校院,47,國立高雄餐旅大學,"81,237,000"
技專校院,50,國立臺中科技大學,"37,680,000"
技專校院,51,國立臺北商業大學,"47,325,000"
技專校院,53,國立高雄科技大學,"397,202,000"
技專校院,144,國立臺灣戲曲學院,"31,422,000"
技專校院,221,國立臺南護理專科學校,"21,872,000"
技專校院,222,國立臺東專科學校,"36,762,000"
技專校院,1018,朝陽科技大學,"76,843,000"
技專校院,1023,南臺科技大學,"160,282,000"
技專校院,1024,崑山科技大學,"210,877,000"
技專校院,1025,嘉南藥理大學,"90,279,000"
技專校院,1026,樹德科技大學,"80,970,000"
技專校院,1030,龍華科技大學,"129,430,000"
技專校院,1031,輔英科技大學,"41,783,756"
技專校院,1032,明新科技大學,"54,377,000"
技專校院,1034,弘光科技大學,"119,018,000"
技專校院,1036,健行科技大學,"57,720,000"
技專校院,1037,正修科技大學,"196,560,000"
技專校院,1038,萬能科技大學,"25,753,000"
技專校院,1040,建國科技大學,"24,949,000"
技專校院,1041,明志科技大學,"101,180,000"
技專校院,1042,高苑科技大學,"20,733,553"
技專校院,1043,大仁科技大學,"43,091,000"
技專校院,1044,聖約翰科技大學,"16,312,000"
技專校院,1045,嶺東科技大學,"55,230,996"
技專校院,1046,中國科技大學,"74,100,000"
技專校院,1047,中臺科技大學,"52,489,000"
技專校院,1051,台南應用科技大學,"42,471,000"
技專校院,1052,遠東科技大學,"78,355,000"
技專校院,1053,元培醫事科技大學,"31,861,532"
技專校院,1054,景文科技大學,"50,644,504"
技專校院,1055,中華醫事科技大學,"52,641,000"
技專校院,1056,東南科技大學,"22,993,000"
技專校院,1057,德明財經科技大學,"44,896,000"
技專校院,1060,南開科技大學,"35,648,036"
技專校院,1061,中華科技大學,"29,105,000"
技專校院,1062,僑光科技大學,"26,697,000"
技專校院,1063,育達科技大學,"11,628,000"
技專校院,1064,美和科技大學,"39,719,000"
技專校院,1065,吳鳳科技大學,"34,458,000"
技專校院,1066,環球科技大學,"4,934,000"
技專校院,1068,中州科技大學,"7,309,000"
技專校院,1069,修平科技大學,"51,879,000"
技專校院,1070,長庚科技大學,"60,353,000"
技專校院,1071,臺北城市科技大學,"27,550,000"
技專校院,1072,敏實科技大學,"6,972,600"
技專校院,1073,醒吾科技大學,"68,682,000"
技專校院,1075,文藻外語大學,"65,210,000"
技專校院,1076,華夏科技大學,"30,075,000"
技專校院,1077,慈濟科技大學,"48,233,223"
技專校院,1078,致理科技大學,"79,260,000"
技專校院,1080,宏國德霖科技大學,"22,987,000"
技專校院,1081,東方設計大學,"11,070,000"
技專校院,1082,崇右影藝科技大學,"12,398,000"
技專校院,1083,台北海洋科技大學,"24,272,000"
技專校院,1148,大漢技術學院,"9,896,550"
技專校院,1166,亞東技術學院,"27,743,000"
技專校院,1168,南亞技術學院,"13,715,000"
技專校院,1182,蘭陽技術學院,"4,898,934"
技專校院,1183,黎明技術學院,"19,397,000"
技專校院,1185,經國管理暨健康學院,"10,720,000"
技專校院,1188,大同技術學院,"4,747,000"
技專校院,1192,臺灣觀光學院,"300,000"
技專校院,1282,馬偕醫護管理專科學校,"24,390,000"
技專校院,1283,仁德醫護管理專科學校,"26,189,363"
技專校院,1284,樹人醫護管理專科學校,"30,260,000"
技專校院,1285,慈惠醫護管理專科學校,"22,499,639"
技專校院,1286,耕莘健康管理專科學校,"34,309,000"
技專校院,1287,敏惠醫護管理專科學校,"16,069,813"
技專校院,1289,育英醫護管理專科學校,"10,443,024"
技專校院,1290,崇仁醫護管理專科學校,"16,865,000"
技專校院,1291,聖母醫護管理專科學校,"11,354,000"
技專校院,1292,新生醫護管理專科學校,"20,960,000"
